DCx,X,Z,K,Theta,q
3178,17842,-1.298000,0.000356171,3.158198025,2.220278587
3183,17837,-1.298000,0.000357853,349.3658947,1.214396384
3188,17832,-1.298000,0.000357732,316.8592419,0.154237576
3193,17827,-1.298000,0.000355848,233.039962,2.84401396
3198,17822,-1.298000,0.000353001,32.12331904,2.632160551
3203,17817,-1.298000,0.000351492,231.0949265,2.482949843
3208,17812,-1.298000,0.000350585,26.34678146,1.34590978
3213,17807,-1.298000,0.000349779,107.8919561,2.653424143
3218,17802,-1.298000,0.000347726,225.1038184,2.561155012
3223,17797,-1.298000,0.000342419,10.36297228,1.943210232
3228,17792,-1.298000,0.00033326,57.10606801,1.520349801
3233,17787,-1.298000,0.000322412,262.2845142,0.228068726
3238,17782,-1.298000,0.000315219,191.6160669,1.087220654
3243,17777,-1.298000,0.000317142,70.80730361,0.693273467
3248,17772,-1.298000,0.000329886,330.5818112,2.580541511
3253,17767,-1.298000,0.000346146,77.49718815,1.903170168
3258,17762,-1.298000,0.000362465,127.038946,2.194371344
3263,17757,-1.298000,0.000375547,56.96558113,0.46906585
3268,17752,-1.298000,0.00038397,133.2260344,2.848940814
3273,17747,-1.298000,0.000384357,265.3537827,1.201268861
3278,17742,-1.298000,0.0003729,10.79925568,1.834160026
3283,17737,-1.298000,0.000361203,201.9147792,2.395467699
3288,17732,-1.298000,0.000358534,78.55603667,2.059109459
3293,17727,-1.298000,0.000358552,330.5403924,0.000145034
3298,17722,-1.298000,0.000359763,186.5030222,1.507972963
3303,17717,-1.298000,0.000359202,56.44942123,2.956859987
3308,17712,-1.298000,0.000359074,298.9181757,0.021011163
3313,17707,-1.298000,0.000356287,270.5255206,0.122787973
3318,17702,-1.298000,0.000348704,123.7232902,0.310268734
3323,17697,-1.298000,0.000341183,223.6992082,1.810219675
3328,17692,-1.298000,0.000336036,220.0866347,0.138570859
3333,17687,-1.298000,0.000334881,219.2378899,1.265615834
3338,17682,-1.298000,0.000332396,214.5723988,1.06758931
3343,17677,-1.298000,0.000334076,10.55961502,2.093011371
3348,17672,-1.298000,0.000338941,139.410692,1.088933177
3353,17667,-1.298000,0.000343078,339.7923804,0.973665143
3358,17662,-1.298000,0.000347726,237.5109994,2.032427229
3363,17657,-1.298000,0.000350918,335.2794917,1.74975711
3368,17652,-1.298000,0.00035327,318.9317856,0.721364392
3373,17647,-1.298000,0.00035477,255.0167969,1.124599699
3378,17642,-1.298000,0.000354118,159.2950665,0.614203838
3383,17637,-1.298000,0.000351844,292.9072287,0.775926254
3388,17632,-1.298000,0.000348665,307.8924412,2.541943477
3393,17627,-1.298000,0.00034546,66.95653683,1.281122827
3398,17622,-1.298000,0.000343042,127.1556035,1.970948889
3403,17617,-1.298000,0.000341635,203.7997799,1.593815244
3408,17612,-1.298000,0.000341242,66.53243457,2.811057122
3413,17607,-1.298000,0.000342374,167.614083,1.00026726
3418,17602,-1.298000,0.000344948,65.97799802,1.082735497
3423,17597,-1.298000,0.000348355,212.9112954,2.239480621
3428,17592,-1.298000,0.000351442,281.1589434,2.591788406
3433,17587,-1.298000,0.000353725,235.9694955,0.06616131
3438,17582,-1.298000,0.000354678,21.61732838,2.548571781
3443,17577,-1.298000,0.000355088,247.4839647,2.422876282
3448,17572,-1.298000,0.000355497,238.2680369,1.628348836
3453,17567,-1.298000,0.000353189,19.18093864,1.301349224
3458,17562,-1.298000,0.000350211,274.7963777,1.807310757
3463,17557,-1.298000,0.000346149,12.47400684,1.005315609
3468,17552,-1.298000,0.000342795,323.1864301,2.334321614
3473,17547,-1.298000,0.000341594,254.6041343,0.29015926
3478,17542,-1.298000,0.000342309,32.20643619,1.355864922
3483,17537,-1.298000,0.000345283,120.1769378,2.285847196
3488,17532,-1.298000,0.000348403,49.8080543,1.8774997
3493,17527,-1.298000,0.000350966,86.12238728,0.00447457
